얼굴사진 18번, 신분증 73번
#CASE1 결과 : False, 거리 : 0.5571300809261643
얼굴사진 98번, 신분증 9번
#CASE2 결과 : False, 거리 : 0.3804185373943094
얼굴사진 33번, 신분증 16번
#CASE3 결과 : False, 거리 : 0.3231438385550027
얼굴사진 64번, 신분증 98번
#CASE4 결과 : False, 거리 : 0.5454528471572133
얼굴사진 58번, 신분증 61번
#CASE5 결과 : False, 거리 : 0.38811948085027625
얼굴사진 84번, 신분증 49번
#CASE6 결과 : False, 거리 : 0.3130468898553366
얼굴사진 27번, 신분증 13번
#CASE7 결과 : False, 거리 : 0.45633871215505384
얼굴사진 63번, 신분증 4번
#CASE8 결과 : False, 거리 : 0.2575279402250493
얼굴사진 50번, 신분증 56번
#CASE9 결과 : False, 거리 : 0.3302473682650453
얼굴사진 78번, 신분증 98번
#CASE10 결과 : False, 거리 : 0.5416146911900022
얼굴사진 99번, 신분증 1번
#CASE11 결과 : False, 거리 : 0.41600081283894685
얼굴사진 90번, 신분증 58번
#CASE12 결과 : False, 거리 : 0.24909881402201606
얼굴사진 35번, 신분증 93번
#CASE13 결과 : False, 거리 : 0.5367653508840106
얼굴사진 30번, 신분증 76번
#CASE14 결과 : False, 거리 : 0.2347600606078991
얼굴사진 14번, 신분증 41번
#CASE15 결과 : False, 거리 : 0.39683234297176295
얼굴사진 4번, 신분증 3번
#CASE16 결과 : False, 거리 : 0.2633014421790594
얼굴사진 4번, 신분증 84번
#CASE17 결과 : False, 거리 : 0.4053582559486639
얼굴사진 70번, 신분증 2번
#CASE18 결과 : False, 거리 : 0.30979877323893035
얼굴사진 49번, 신분증 88번
#CASE19 결과 : False, 거리 : 0.27903471801087865
얼굴사진 28번, 신분증 55번
#CASE20 결과 : False, 거리 : 0.5074836167687141
얼굴사진 93번, 신분증 4번
#CASE21 결과 : False, 거리 : 0.421727575862172
얼굴사진 68번, 신분증 29번
#CASE22 결과 : False, 거리 : 0.44911342017839606
얼굴사진 98번, 신분증 57번
#CASE23 결과 : False, 거리 : 0.45498604592518066
얼굴사진 64번, 신분증 71번
#CASE24 결과 : False, 거리 : 0.4803191464983858
#CASE25 얼굴 검출 실패!
얼굴사진 30번, 신분증 87번
#CASE26 결과 : False, 거리 : 0.36295654770400076
얼굴사진 29번, 신분증 98번
#CASE27 결과 : False, 거리 : 0.4421607463394509
얼굴사진 59번, 신분증 38번
#CASE28 결과 : False, 거리 : 0.4189994732569149
얼굴사진 3번, 신분증 54번
#CASE29 결과 : False, 거리 : 0.35874492688390724
얼굴사진 72번, 신분증 83번
#CASE30 결과 : True, 거리 : 0.18598663177871033
얼굴사진 13번, 신분증 24번
#CASE31 결과 : False, 거리 : 0.41041706068318395
얼굴사진 81번, 신분증 93번
#CASE32 결과 : False, 거리 : 0.4795134258387356
얼굴사진 38번, 신분증 16번
#CASE33 결과 : False, 거리 : 0.5345854363811442
얼굴사진 96번, 신분증 43번
#CASE34 결과 : False, 거리 : 0.4768679327935206
얼굴사진 93번, 신분증 92번
#CASE35 결과 : False, 거리 : 0.4067143701721956
얼굴사진 65번, 신분증 55번
#CASE36 결과 : False, 거리 : 0.41950516105635394
얼굴사진 65번, 신분증 86번
#CASE37 결과 : False, 거리 : 0.3601491753576376
얼굴사진 25번, 신분증 39번
#CASE38 결과 : False, 거리 : 0.31356730365673235
얼굴사진 37번, 신분증 76번
#CASE39 결과 : True, 거리 : 0.20992384068991732
얼굴사진 64번, 신분증 65번
#CASE40 결과 : False, 거리 : 0.41178960542206333
얼굴사진 51번, 신분증 76번
#CASE41 결과 : False, 거리 : 0.3575138017141547
얼굴사진 5번, 신분증 62번
#CASE42 결과 : False, 거리 : 0.3653180153121871
얼굴사진 32번, 신분증 96번
#CASE43 결과 : False, 거리 : 0.46737215070548244
얼굴사진 52번, 신분증 54번
#CASE44 결과 : False, 거리 : 0.3677570750887018
얼굴사진 86번, 신분증 23번
#CASE45 결과 : False, 거리 : 0.41230974200190873
얼굴사진 47번, 신분증 71번
#CASE46 결과 : False, 거리 : 0.43810223618371735
얼굴사진 90번, 신분증 100번
#CASE47 결과 : False, 거리 : 0.4654271128119757
얼굴사진 87번, 신분증 95번
#CASE48 결과 : False, 거리 : 0.3067102191653196
얼굴사진 48번, 신분증 12번
#CASE49 결과 : False, 거리 : 0.4472795770593474
얼굴사진 57번, 신분증 85번
#CASE50 결과 : False, 거리 : 0.5450216898248686
얼굴사진 66번, 신분증 14번
#CASE51 결과 : False, 거리 : 0.4432802517312733
얼굴사진 100번, 신분증 21번
#CASE52 결과 : False, 거리 : 0.5837203104836017
얼굴사진 67번, 신분증 51번
#CASE53 결과 : False, 거리 : 0.4926984575519344
얼굴사진 48번, 신분증 63번
#CASE54 결과 : False, 거리 : 0.34280620527723127
얼굴사진 94번, 신분증 4번
#CASE55 결과 : False, 거리 : 0.41945238516450223
얼굴사진 61번, 신분증 6번
#CASE56 결과 : False, 거리 : 0.5403958670321819
얼굴사진 40번, 신분증 91번
#CASE57 결과 : False, 거리 : 0.5174428993943492
얼굴사진 79번, 신분증 76번
#CASE58 결과 : False, 거리 : 0.5364834891395606
얼굴사진 75번, 신분증 51번
#CASE59 결과 : False, 거리 : 0.4300016710467268
얼굴사진 83번, 신분증 22번
#CASE60 결과 : False, 거리 : 0.4919273256126666
얼굴사진 22번, 신분증 65번
#CASE61 결과 : False, 거리 : 0.3708749393305323
얼굴사진 30번, 신분증 2번
#CASE62 결과 : False, 거리 : 0.25242482215303674
얼굴사진 99번, 신분증 26번
#CASE63 결과 : False, 거리 : 0.5060160450784665
얼굴사진 70번, 신분증 71번
#CASE64 결과 : False, 거리 : 0.3581360895736787
얼굴사진 30번, 신분증 52번
#CASE65 결과 : False, 거리 : 0.34547802938850836
#CASE66 얼굴 검출 실패!
얼굴사진 74번, 신분증 46번
#CASE67 결과 : False, 거리 : 0.443370897605731
얼굴사진 59번, 신분증 35번
#CASE68 결과 : False, 거리 : 0.3692519147222809
얼굴사진 85번, 신분증 71번
#CASE69 결과 : False, 거리 : 0.27957053704897106
얼굴사진 78번, 신분증 94번
#CASE70 결과 : False, 거리 : 0.5093720430192338
얼굴사진 1번, 신분증 50번
#CASE71 결과 : False, 거리 : 0.47705162230099374
얼굴사진 95번, 신분증 66번
#CASE72 결과 : False, 거리 : 0.4601842759406911
얼굴사진 17번, 신분증 67번
#CASE73 결과 : False, 거리 : 0.24660360664899816
얼굴사진 100번, 신분증 72번
#CASE74 결과 : False, 거리 : 0.5021164015069894
얼굴사진 27번, 신분증 55번
#CASE75 결과 : False, 거리 : 0.5088224474072162
얼굴사진 8번, 신분증 62번
#CASE76 결과 : False, 거리 : 0.2821755811914427
얼굴사진 47번, 신분증 73번
#CASE77 결과 : False, 거리 : 0.4509853405903772
얼굴사진 71번, 신분증 26번
#CASE78 결과 : False, 거리 : 0.4562788564323522
얼굴사진 65번, 신분증 53번
#CASE79 결과 : False, 거리 : 0.506905946316829
얼굴사진 63번, 신분증 46번
#CASE80 결과 : False, 거리 : 0.4008694880374297
#CASE81 얼굴 검출 실패!
얼굴사진 1번, 신분증 69번
#CASE82 결과 : False, 거리 : 0.5909932940633721
얼굴사진 70번, 신분증 80번
#CASE83 결과 : False, 거리 : 0.49636900017964825
얼굴사진 79번, 신분증 43번
#CASE84 결과 : False, 거리 : 0.5137412140758366
얼굴사진 59번, 신분증 77번
#CASE85 결과 : False, 거리 : 0.4805832999151213
얼굴사진 4번, 신분증 30번
#CASE86 결과 : False, 거리 : 0.27648614105882174
얼굴사진 82번, 신분증 23번
#CASE87 결과 : False, 거리 : 0.29888986656703154
얼굴사진 71번, 신분증 75번
#CASE88 결과 : False, 거리 : 0.32322976677719895
얼굴사진 24번, 신분증 12번
#CASE89 결과 : False, 거리 : 0.4461259395840621
얼굴사진 71번, 신분증 33번
#CASE90 결과 : False, 거리 : 0.3214332467665587
얼굴사진 5번, 신분증 87번
#CASE91 결과 : False, 거리 : 0.41773570853889397
얼굴사진 10번, 신분증 11번
#CASE92 결과 : False, 거리 : 0.5199488059195485
얼굴사진 3번, 신분증 58번
#CASE93 결과 : False, 거리 : 0.38637344201004553
얼굴사진 2번, 신분증 97번
#CASE94 결과 : False, 거리 : 0.5036494210880569
얼굴사진 97번, 신분증 36번
#CASE95 결과 : False, 거리 : 0.39418562244173694
얼굴사진 32번, 신분증 35번
#CASE96 결과 : False, 거리 : 0.4753378119794104
얼굴사진 15번, 신분증 80번
#CASE97 결과 : False, 거리 : 0.43746401072122376
#CASE98 얼굴 검출 실패!
얼굴사진 38번, 신분증 9번
#CASE99 결과 : False, 거리 : 0.47395795361069737
얼굴사진 22번, 신분증 21번
#CASE100 결과 : False, 거리 : 0.3701667318239177
