위양성 데이터 (21/100)

얼굴사진 18번, 신분증 73번
#CASE1 결과 : True, 거리 : 9.31805634297567
얼굴사진 98번, 신분증 9번
#CASE2 결과 : True, 거리 : 7.815998590674375
얼굴사진 33번, 신분증 16번
#CASE3 결과 : True, 거리 : 9.720950886820052
얼굴사진 64번, 신분증 98번
#CASE4 결과 : True, 거리 : 3.8275578258494134
얼굴사진 58번, 신분증 61번
#CASE5 결과 : True, 거리 : 8.42817235978614
얼굴사진 84번, 신분증 49번
#CASE6 결과 : True, 거리 : 9.06910185154012
얼굴사진 27번, 신분증 13번
#CASE7 결과 : False, 거리 : 14.278455703600258
얼굴사진 63번, 신분증 4번
#CASE8 결과 : True, 거리 : 9.637549117652759
얼굴사진 50번, 신분증 56번
#CASE9 결과 : True, 거리 : 9.38152041583002
얼굴사진 78번, 신분증 98번
#CASE10 결과 : True, 거리 : 6.703919055696022
얼굴사진 99번, 신분증 1번
#CASE11 결과 : True, 거리 : 9.11022927003872
얼굴사진 90번, 신분증 58번
#CASE12 결과 : True, 거리 : 7.001270181970893
#CASE13 얼굴 검출 실패!
얼굴사진 30번, 신분증 76번
#CASE14 결과 : True, 거리 : 9.04210802546006
얼굴사진 14번, 신분증 41번
#CASE15 결과 : True, 거리 : 8.025622959430864
얼굴사진 4번, 신분증 3번
#CASE16 결과 : False, 거리 : 11.629480566770923
얼굴사진 4번, 신분증 84번
#CASE17 결과 : False, 거리 : 11.55783970828878
얼굴사진 70번, 신분증 2번
#CASE18 결과 : True, 거리 : 7.391911236718775
얼굴사진 49번, 신분증 88번
#CASE19 결과 : True, 거리 : 6.776733026469882
#CASE20 얼굴 검출 실패!
얼굴사진 93번, 신분증 4번
#CASE21 결과 : True, 거리 : 7.108075220822906
얼굴사진 68번, 신분증 29번
#CASE22 결과 : True, 거리 : 8.011485000943667
얼굴사진 98번, 신분증 57번
#CASE23 결과 : True, 거리 : 8.903735955486145
얼굴사진 64번, 신분증 71번
#CASE24 결과 : True, 거리 : 2.582222503789382
#CASE25 얼굴 검출 실패!
얼굴사진 30번, 신분증 87번
#CASE26 결과 : True, 거리 : 8.19160270173013
얼굴사진 29번, 신분증 98번
#CASE27 결과 : True, 거리 : 6.828721704376168
얼굴사진 59번, 신분증 38번
#CASE28 결과 : True, 거리 : 9.31101841696002
얼굴사진 3번, 신분증 54번
#CASE29 결과 : False, 거리 : 11.173136791038262
얼굴사진 72번, 신분증 83번
#CASE30 결과 : True, 거리 : 7.822174442409573
얼굴사진 13번, 신분증 24번
#CASE31 결과 : False, 거리 : 11.719151053974022
얼굴사진 81번, 신분증 93번
#CASE32 결과 : False, 거리 : 11.050400938198115
얼굴사진 38번, 신분증 16번
#CASE33 결과 : True, 거리 : 8.525213504036152
얼굴사진 96번, 신분증 43번
#CASE34 결과 : True, 거리 : 9.55612414027636
얼굴사진 93번, 신분증 92번
#CASE35 결과 : True, 거리 : 7.251477142734158
얼굴사진 65번, 신분증 55번
#CASE36 결과 : True, 거리 : 9.616972598230813
얼굴사진 65번, 신분증 86번
#CASE37 결과 : True, 거리 : 9.297887846298512
얼굴사진 25번, 신분증 39번
