얼굴사진 18번, 신분증 73번
#CASE1 결과 : False, 거리 : 0.5589438733614195
얼굴사진 98번, 신분증 9번
#CASE2 결과 : False, 거리 : 0.4308231401521522
얼굴사진 33번, 신분증 16번
#CASE3 결과 : False, 거리 : 0.5876168879120349
얼굴사진 64번, 신분증 98번
#CASE4 결과 : False, 거리 : 0.35460083647264484
얼굴사진 58번, 신분증 61번
#CASE5 결과 : False, 거리 : 0.6102110689236321
얼굴사진 84번, 신분증 49번
#CASE6 결과 : False, 거리 : 0.6560111224402216
얼굴사진 27번, 신분증 13번
#CASE7 결과 : False, 거리 : 0.7739557051212342
얼굴사진 63번, 신분증 4번
#CASE8 결과 : False, 거리 : 0.7262131985214331
얼굴사진 50번, 신분증 56번
#CASE9 결과 : False, 거리 : 0.6256423332063911
얼굴사진 78번, 신분증 98번
#CASE10 결과 : False, 거리 : 0.4861760452110995
얼굴사진 99번, 신분증 1번
#CASE11 결과 : False, 거리 : 0.5662344893292881
얼굴사진 90번, 신분증 58번
#CASE12 결과 : False, 거리 : 0.31976401992250947
얼굴사진 35번, 신분증 93번
#CASE13 결과 : False, 거리 : 0.3970607551425168
얼굴사진 30번, 신분증 76번
#CASE14 결과 : False, 거리 : 0.5664401832298547
얼굴사진 14번, 신분증 41번
#CASE15 결과 : False, 거리 : 0.7990806208906959
얼굴사진 4번, 신분증 3번
#CASE16 결과 : False, 거리 : 0.6125957001083853
얼굴사진 4번, 신분증 84번
#CASE17 결과 : False, 거리 : 0.8806593943221981
얼굴사진 70번, 신분증 2번
#CASE18 결과 : False, 거리 : 0.508566888272656
얼굴사진 49번, 신분증 88번
#CASE19 결과 : False, 거리 : 0.6995575603551667
얼굴사진 28번, 신분증 55번
#CASE20 결과 : False, 거리 : 0.5904602700837898
얼굴사진 93번, 신분증 4번
#CASE21 결과 : False, 거리 : 0.6822243121812732
얼굴사진 68번, 신분증 29번
#CASE22 결과 : False, 거리 : 0.4746761846873492
얼굴사진 98번, 신분증 57번
#CASE23 결과 : False, 거리 : 0.7851391667492815
얼굴사진 64번, 신분증 71번
#CASE24 결과 : False, 거리 : 0.7570776094019998
#CASE25 얼굴 검출 실패!
