위양성 (28/100) 

얼굴사진 18번, 신분증 73번
#CASE1 결과 : False, 거리 : 0.46725604039003754
얼굴사진 98번, 신분증 9번
#CASE2 결과 : True, 거리 : 0.3329116878705708
얼굴사진 33번, 신분증 16번
#CASE3 결과 : False, 거리 : 0.48985207392373187
얼굴사진 64번, 신분증 98번
#CASE4 결과 : True, 거리 : 0.3396578295515519
얼굴사진 58번, 신분증 61번
#CASE5 결과 : False, 거리 : 0.48804280747825557
얼굴사진 84번, 신분증 49번
#CASE6 결과 : True, 거리 : 0.38907390881525705
얼굴사진 27번, 신분증 13번
#CASE7 결과 : False, 거리 : 0.5531822530731434
얼굴사진 63번, 신분증 4번
#CASE8 결과 : False, 거리 : 0.5159631291859641
얼굴사진 50번, 신분증 56번
#CASE9 결과 : True, 거리 : 0.3212990979279393
얼굴사진 78번, 신분증 98번
#CASE10 결과 : True, 거리 : 0.3643869474970095
얼굴사진 99번, 신분증 1번
#CASE11 결과 : False, 거리 : 0.41291246209077337
얼굴사진 90번, 신분증 58번
#CASE12 결과 : True, 거리 : 0.32478793084715296
#CASE13 얼굴 검출 실패!
얼굴사진 30번, 신분증 76번
#CASE14 결과 : True, 거리 : 0.2809847142918641
얼굴사진 14번, 신분증 41번
#CASE15 결과 : False, 거리 : 0.577679309829328
얼굴사진 4번, 신분증 3번
#CASE16 결과 : False, 거리 : 0.541271708430799
얼굴사진 4번, 신분증 84번
#CASE17 결과 : False, 거리 : 0.6347275332829704
얼굴사진 70번, 신분증 2번
#CASE18 결과 : True, 거리 : 0.3585049056910514
얼굴사진 49번, 신분증 88번
#CASE19 결과 : False, 거리 : 0.5225949354681553
#CASE20 얼굴 검출 실패!
얼굴사진 93번, 신분증 4번
#CASE21 결과 : False, 거리 : 0.5586390351706715
얼굴사진 68번, 신분증 29번
#CASE22 결과 : True, 거리 : 0.3835752137080969
얼굴사진 98번, 신분증 57번
#CASE23 결과 : False, 거리 : 0.5994338024524998
얼굴사진 64번, 신분증 71번
#CASE24 결과 : False, 거리 : 0.5064049954748533
#CASE25 얼굴 검출 실패!
얼굴사진 30번, 신분증 87번
#CASE26 결과 : True, 거리 : 0.31840719292605635
얼굴사진 29번, 신분증 98번
#CASE27 결과 : True, 거리 : 0.3451395084791864
얼굴사진 59번, 신분증 38번
#CASE28 결과 : False, 거리 : 0.6332562813700966
얼굴사진 3번, 신분증 54번
#CASE29 결과 : False, 거리 : 0.5201991652328244
얼굴사진 72번, 신분증 83번
#CASE30 결과 : False, 거리 : 0.4259054903357907
얼굴사진 13번, 신분증 24번
#CASE31 결과 : False, 거리 : 0.4367999147249718
얼굴사진 81번, 신분증 93번
#CASE32 결과 : False, 거리 : 0.4304745916111734
얼굴사진 38번, 신분증 16번
#CASE33 결과 : False, 거리 : 0.45830365360346637
얼굴사진 96번, 신분증 43번
#CASE34 결과 : False, 거리 : 0.4772809522442323
얼굴사진 93번, 신분증 92번
#CASE35 결과 : False, 거리 : 0.47286638663511593
얼굴사진 65번, 신분증 55번
#CASE36 결과 : False, 거리 : 0.4655464189712828
얼굴사진 65번, 신분증 86번
#CASE37 결과 : True, 거리 : 0.2968724070186397
얼굴사진 25번, 신분증 39번
#CASE38 결과 : False, 거리 : 0.428344520373913
얼굴사진 37번, 신분증 76번
#CASE39 결과 : False, 거리 : 0.5686596298306086
얼굴사진 64번, 신분증 65번
#CASE40 결과 : True, 거리 : 0.32420107055579894
얼굴사진 51번, 신분증 76번
#CASE41 결과 : True, 거리 : 0.3163046737969947
얼굴사진 5번, 신분증 62번
#CASE42 결과 : False, 거리 : 0.6700303706485247
얼굴사진 32번, 신분증 96번
#CASE43 결과 : True, 거리 : 0.36948124338357036
얼굴사진 52번, 신분증 54번
#CASE44 결과 : True, 거리 : 0.09678478520505496
얼굴사진 86번, 신분증 23번
#CASE45 결과 : False, 거리 : 0.4745001741857925
얼굴사진 47번, 신분증 71번
#CASE46 결과 : False, 거리 : 0.5935144156129644
얼굴사진 90번, 신분증 100번
#CASE47 결과 : False, 거리 : 0.6199977036055094
얼굴사진 87번, 신분증 95번
#CASE48 결과 : False, 거리 : 0.4458319497640212
얼굴사진 48번, 신분증 12번
#CASE49 결과 : True, 거리 : 0.22757483581335936
얼굴사진 57번, 신분증 85번
#CASE50 결과 : False, 거리 : 0.48214343385219927
얼굴사진 66번, 신분증 14번
#CASE51 결과 : False, 거리 : 0.584720168685233
얼굴사진 100번, 신분증 21번
#CASE52 결과 : False, 거리 : 0.44098982350379545
얼굴사진 67번, 신분증 51번
#CASE53 결과 : False, 거리 : 0.40949964540561146
얼굴사진 48번, 신분증 63번
#CASE54 결과 : True, 거리 : 0.3658244739157027
얼굴사진 94번, 신분증 4번
#CASE55 결과 : False, 거리 : 0.4215120416877912
얼굴사진 61번, 신분증 6번
#CASE56 결과 : False, 거리 : 0.5105221403376912
얼굴사진 40번, 신분증 91번
#CASE57 결과 : False, 거리 : 0.41494467511247346
얼굴사진 79번, 신분증 76번
#CASE58 결과 : True, 거리 : 0.387865122204627
얼굴사진 75번, 신분증 51번
#CASE59 결과 : False, 거리 : 0.6677724441623101
얼굴사진 83번, 신분증 22번
#CASE60 결과 : False, 거리 : 0.6451125634756774
얼굴사진 22번, 신분증 65번
#CASE61 결과 : False, 거리 : 0.4851598515338795
얼굴사진 30번, 신분증 2번
#CASE62 결과 : True, 거리 : 0.2581579925002395
얼굴사진 99번, 신분증 26번
#CASE63 결과 : True, 거리 : 0.3937415113045686
얼굴사진 70번, 신분증 71번
#CASE64 결과 : False, 거리 : 0.4865493977042019
얼굴사진 30번, 신분증 52번
#CASE65 결과 : False, 거리 : 0.4945730566334591
#CASE66 얼굴 검출 실패!
얼굴사진 74번, 신분증 46번
#CASE67 결과 : False, 거리 : 0.5436195535456312
얼굴사진 59번, 신분증 35번
#CASE68 결과 : False, 거리 : 0.650104492758578
얼굴사진 85번, 신분증 71번
#CASE69 결과 : False, 거리 : 0.5884545624866793
얼굴사진 78번, 신분증 94번
#CASE70 결과 : False, 거리 : 0.4797701764037898
얼굴사진 1번, 신분증 50번
#CASE71 결과 : False, 거리 : 0.7014966302562708
